name,type,nyse,
Abbott Laboratories,NYSE,ABT,_- Health Care / Health Care Equipment & Services
AbbVie,NYSE,ABBV,_- Health Care / Pharmaceuticals
Accenture,NYSE,ACN,_- Information Technology / IT Consulting & Other Services
ACE Limited,NYSE,ACE,_- Financials / Property & Casualty Insurance
Actavis plc,NYSE,ACT,_- Health Care / Pharmaceuticals
Adobe Systems Inc,NASDAQ,ADBE,_- Information Technology / Application Software
ADT Corp,NYSE,ADT,_- Industrials / Diversified Commercial Services
AES Corp,NYSE,AES,_- Utilities / Independent Power Producers & Energy Traders
Aetna Inc,NYSE,AET,_- Health Care / Managed Health Care
"Affiliated Managers Group, Inc",NYSE,AMG,_- Financials / Asset Management & Custody Banks
Agilent Technologies Inc,NYSE,A,_- Health Care / Health Care Equipment & Services
AGL Resources Inc,NYSE,GAS,_- Utilities / Gas Utilities
"Air Products & Chemicals, Inc",NYSE,APD,_- Materials / Industrial Gases
"Airgas, Inc",NYSE,ARG,_- Materials / Industrial Gases
"Akamai Technologies, Inc",NASDAQ,AKAM,_- Information Technology / Internet Software & Services
Alcoa,NYSE,AA,_- Materials / Aluminum
"Alexion Pharmaceuticals, Inc",NASDAQ,ALXN,_- Health Care / Biotechnology
Allegheny Technologies Inc,NYSE,ATI,_- Materials / Diversified Metals & Mining
Allegion plc,NYSE,ALLE,_- Industrials / Building Products
Alliance Data Systems Corporation,NYSE,ADS,_- Industrials / Business Support Services
Allstate Corp,NYSE,ALL,_- Financials / Property & Casualty Insurance
Altera Corporation,NASDAQ,ALTR,_- Information Technology / Semiconductors
Altria Group Inc,NYSE,MO,_- Consumer Staples / Tobacco
"Amazon.com, Inc",NASDAQ,AMZN,_- Consumer Discretionary / Internet Retail
Ameren Corp,NYSE,AEE,_- Utilities / MultiUtilities
American Airlines Group Inc,NASDAQ,AAL,_- Industrials / Airlines
American Electric Power Company Inc,NYSE,AEP,_- Utilities / Electric Utilities
American Express Company,NYSE,AXP,_- Financials / Consumer Finance
American International Group Inc,NYSE,AIG,_- Financials / Property & Casualty Insurance
American Tower Corp,NYSE,AMT,_- Financials / Specialized REITs
"Ameriprise Financial, Inc.",NYSE,AMP,_- Financials / Diversified Financial Services
AmerisourceBergen Corp.,NYSE,ABC,_- Health Care / Health Care Distribution & Services
"AMETEK, Inc.",NYSE,AME,_- Industrials / Electrical Components & Equipment
"Amgen, Inc.",NASDAQ,AMGN,_- Health Care / Biotechnology
Amphenol Corporation,NYSE,APH,_- Industrials / Electrical Components & Equipment
Anadarko Petroleum Corporation,NYSE,APC,_- Energy / Oil & Gas Exploration & Production
"Analog Devices, Inc.",NASDAQ,ADI,_- Information Technology / Semiconductors
Aon Plc,NYSE,AON,_- Financials / Insurance Brokers
Anthem Inc,NYSE,ANTM,_- Health Care / Managed Health Care
Apache Corporation,NYSE,APA,_- Energy / Oil & Gas Exploration & Production
Apartment Investment and Management Co,NYSE,AIV,_- Financials / Residential REITs
Apple Inc.,NASDAQ,AAPL,_- Information Technology / Computer Hardware
